facebook.com,57.144.220.1
youtube.com,142.251.218.174
yahoo.com,74.6.143.26
live.com,204.79.197.212
wikipedia.org,198.35.26.224
msn.com,204.79.197.219
baidu.com,111.63.65.247
blogspot.com,172.217.12.105
microsoft.com,150.171.109.148
qq.com,123.150.76.218
taobao.com,59.82.122.140
bing.com,150.171.28.10
sina.com.cn,36.51.254.91
soso.com,43.153.249.87
163.com,59.111.160.244
ask.com,151.101.42.114
adobe.com,23.212.62.72
twitter.com,162.159.140.229
mozilla.com,35.190.14.201
youku.com,106.11.43.107
sdjjdsaf.com,
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
